FID,Shape,OBJECTID,PAYS,PROVINCE,NOMZS,CODEZS,NOMAS,CODEAS,EDITE_PAR,EDIT_DATE,FIABILITE,POINT_X,POINT_Y,NOMZSAS
0,Polygon,1,RDC,ITURI,BOGA,545101,BIKIMA,54510101, ,12/29/2018,BASSE,29.96829,1.080888,BOGA-BIKIMA
1,Polygon,2,RDC,ITURI,BOGA,545101,BOGA,54510102, ,12/29/2018,BASSE,29.956936,1.019913,BOGA-BOGA
2,Polygon,3,RDC,ITURI,BOGA,545101,BURASI,54510103, ,12/29/2018,BASSE,30.130899,1.025999,BOGA-BURASI
3,Polygon,4,RDC,ITURI,BOGA,545101,BWAKADI,54510104, ,12/29/2018,BASSE,29.77858,0.920095,BOGA-BWAKADI
4,Polygon,5,RDC,ITURI,BOGA,545101,KYABOHE,54510105, ,12/29/2018,BASSE,30.087993,0.949825,BOGA-KYABOHE
5,Polygon,6,RDC,ITURI,BOGA,545101,MUNGWANGA,54510106, ,12/29/2018,BASSE,29.990225,0.927802,BOGA-MUNGWANGA
6,Polygon,7,RDC,ITURI,BOGA,545101,RUBINGO,54510107, ,12/29/2018,BASSE,29.94029,1.048066,BOGA-RUBINGO
7,Polygon,8,RDC,ITURI,BOGA,545101,TCHABI,54510108, ,12/29/2018,BASSE,29.876149,0.990573,BOGA-TCHABI
8,Polygon,9,RDC,ITURI,BOGA,545101,TONDOLI,54510109, ,12/29/2018,BASSE,29.916102,0.889091,BOGA-TONDOLI
9,Polygon,10,RDC,ITURI,BOGA,545101,ZUNGULUKA,54510110, ,12/29/2018,BASSE,29.899677,1.106454,BOGA-ZUNGULUKA
10,Polygon,11,RDC,ITURI,BUNIA,545102,ADVENTISTE,54510201,MSF & OCHA,12/29/2018,BASSE,30.244537,1.556102,BUNIA-ADVENTISTE
11,Polygon,12,RDC,ITURI,BUNIA,545102,AERO,54510202,MSF & OCHA,12/29/2018,BASSE,30.219507,1.573788,BUNIA-AERO
12,Polygon,13,RDC,ITURI,BUNIA,545102,BANKOKO,54510203,MSF & OCHA,12/29/2018,BASSE,30.235527,1.552937,BUNIA-BANKOKO
13,Polygon,14,RDC,ITURI,BUNIA,545102,BIGO,54510204,MSF & OCHA,12/29/2018,BASSE,30.230086,1.585552,BUNIA-BIGO
14,Polygon,15,RDC,ITURI,BUNIA,545102,BORA UZIMA,54510205,MSF & OCHA,12/29/2018,BASSE,30.249241,1.546657,BUNIA-BORA UZIMA
15,Polygon,16,RDC,ITURI,BUNIA,545102,BUNIA CITÉ,54510206,MSF & OCHA,12/29/2018,BASSE,30.256858,1.550962,BUNIA-BUNIA CITÉ
16,Polygon,17,RDC,ITURI,BUNIA,545102,CENTRAL,54510207,MSF & OCHA,12/29/2018,BASSE,30.266889,1.626395,BUNIA-CENTRAL
17,Polygon,18,RDC,ITURI,BUNIA,545102,CNCA SAIO,54510208,MSF & OCHA,12/29/2018,BASSE,30.262245,1.563322,BUNIA-CNCA SAIO
